usuario;timestamp;cpu;ram;disco
vitorio;2025-09-08 08:21:53;16.6;26.2;53.3
vitorio;2025-09-08 08:22:03;2.7;26.2;53.3
vitorio;2025-09-08 08:22:12;10.9;26.3;53.3
vitorio;2025-09-08 08:22:22;4.8;26.3;53.3
vitorio;2025-09-08 08:22:32;1.8;26.2;53.3
vitorio;2025-09-08 08:22:42;1.9;26.2;53.3
vitorio;2025-09-08 08:22:52;1.8;26.2;53.3
vitorio;2025-09-08 08:23:02;1.7;26.2;53.3
vitorio;2025-09-08 08:23:12;1.6;26.1;53.3
vitorio;2025-09-08 08:23:22;1.6;26.1;53.3
vitorio;2025-09-08 08:23:32;3.0;26.1;53.3
vitorio;2025-09-08 08:23:42;4.3;25.9;53.3
vitorio;2025-09-08 08:23:52;5.9;26.1;53.3
vitorio;2025-09-08 08:24:02;1.8;25.7;53.3
vitorio;2025-09-08 08:24:12;5.2;26.5;53.3
vitorio;2025-09-08 08:24:22;2.6;26.0;53.3
vitorio;2025-09-08 08:24:32;1.6;26.0;53.3
vitorio;2025-09-08 08:24:42;1.7;25.8;53.3
vitorio;2025-09-08 08:24:52;1.3;25.7;53.3
vitorio;2025-09-08 08:25:02;1.4;25.7;53.3
vitorio;2025-09-08 08:25:12;1.2;25.6;53.3
